,Customer,clust,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Policy,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size,Customer Lifetime Value,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Total Claim Amount
0,BU79786,2,4,0,0,0,40,1,0,1,1,0,2,0,0,5,1,0.010629246242856666,0.5628469409187745,0.03375527426160337,0.9142857142857143,0.050505050505050504,0.0,0.0,0.132973879858744
1,QZ44356,3,0,0,1,0,20,4,0,1,2,1,5,2,0,0,1,0.06240565068777412,0.0,0.13924050632911392,0.37142857142857144,0.42424242424242425,0.0,0.875,0.3910511297775745
2,AI49188,2,2,0,2,0,34,1,0,1,1,1,5,0,0,5,1,0.13495982371303678,0.48776267490823255,0.19831223628691982,0.5142857142857142,0.3838383838383838,0.0,0.125,0.19576415543051898
3,WW63253,1,1,0,0,0,9,4,1,1,1,0,1,0,2,3,1,0.07058872101457588,0.0,0.189873417721519,0.5142857142857142,0.6565656565656566,0.0,0.75,0.1831166877955102
4,HB64268,0,4,0,0,0,46,1,1,0,2,1,3,0,0,0,1,0.01124541859171374,0.4384433042278033,0.05063291139240506,0.34285714285714286,0.4444444444444444,0.0,0.0,0.047710045136619625
5,OC83172,1,3,1,0,0,14,1,0,0,1,1,5,1,3,5,1,0.07808541342462334,0.6291395365119372,0.03375527426160337,0.4,0.9494949494949495,0.0,0.125,0.05505575190194407
6,XZ87318,2,3,1,0,1,40,1,0,1,1,0,2,0,0,0,1,0.042772974377693826,0.5536051849851472,0.02531645569620253,0.0,0.13131313131313133,0.0,1.0,0.1111252543723962
7,CF85061,1,0,0,2,4,6,4,1,2,2,0,2,0,0,0,1,0.06531087036744881,0.0,0.16877637130801687,0.0,0.6868686868686869,0.0,0.375,0.12544522174048134
8,DY87989,3,3,1,0,0,15,2,1,1,0,0,2,0,0,0,1,0.2729978308941161,0.14074674188095737,0.04219409282700422,0.37142857142857144,0.030303030303030304,0.0,0.125,0.17665957211245467
9,BQ94931,2,3,0,1,1,32,1,0,2,1,2,7,1,1,0,1,0.06742413727723438,0.2881747532031086,0.1350210970464135,0.4857142857142857,0.0707070707070707,0.0,0.875,0.14704740466454838
10,SX51350,2,1,0,0,1,37,4,1,1,2,1,5,0,0,0,2,0.03488979472580745,0.0,0.02531645569620253,0.6571428571428571,0.050505050505050504,0.0,0.25,0.16670499220257237
11,VQ65197,0,1,0,0,1,51,4,0,1,1,1,5,1,0,3,1,0.07735960440673682,0.0,0.20675105485232068,0.7714285714285715,0.8787878787878788,0.0,0.25,0.18246641039321934
12,DP39365,0,1,0,2,4,52,1,1,2,1,0,0,1,0,0,1,0.08474778235022874,0.7704063772116703,0.20675105485232068,0.2571428571428571,0.8282828282828283,0.4,0.25,0.16312056124007251
13,SJ95423,3,0,1,0,3,21,1,1,1,1,0,2,1,1,3,1,0.08499612550716815,0.9986397415508946,0.20675105485232068,0.6571428571428571,0.25252525252525254,0.2,0.875,0.18246641039321934
14,IL66569,1,1,0,0,1,6,1,1,2,2,0,2,3,2,0,1,0.04281636309143331,0.8370490393174703,0.0379746835443038,0.6,0.10101010101010101,0.4,0.875,0.10612692568933163
15,BW63560,1,3,0,0,0,5,1,0,0,1,0,1,1,1,0,1,0.06834472809042318,0.24603674698192657,0.012658227848101266,0.34285714285714286,0.5050505050505051,0.2,0.125,0.014800961608686327
16,FV94802,0,2,0,0,3,52,2,1,1,1,1,5,1,2,5,1,0.008214192833774591,0.25053760214440746,0.02531645569620253,0.4,0.0707070707070707,0.0,0.0,0.15697338727847845
17,OE15005,0,1,0,0,1,49,2,1,1,1,1,4,2,2,3,1,0.02514183917061837,0.28860483491863453,0.16877637130801687,0.34285714285714286,0.5959595959595959,0.0,0.0,0.22375096741364084
18,WC83389,0,3,0,0,1,43,1,1,2,1,1,4,1,1,0,1,0.046818720479762495,0.5115771996679369,0.046413502109704644,0.2571428571428571,0.010101010101010102,0.0,0.75,0.1067637879126134
19,FL50705,1,1,0,2,3,2,1,0,1,1,0,1,0,2,0,2,0.07693493118559173,0.6615256898810774,0.16877637130801687,0.3142857142857143,0.21212121212121213,0.0,0.25,0.1675345405283959
20,ZK25313,2,3,0,0,3,34,1,1,1,2,1,4,0,1,5,1,0.011962114900102584,0.5775997439513507,0.05485232067510549,0.8857142857142857,0.21212121212121213,0.0,0.0,0.12273893093392554
21,SV62436,1,4,0,1,0,10,0,0,1,0,1,5,3,2,0,1,0.014046675419161098,0.13791620407877497,0.0759493670886076,0.22857142857142856,0.494949494949495,0.0,0.0,0.1310344141921608
22,YH23384,3,0,1,0,0,15,2,1,1,0,1,5,0,0,0,1,0.2729978308941161,0.14074674188095737,0.04219409282700422,0.37142857142857144,0.030303030303030304,0.0,0.125,0.17665957211245467
23,TZ98966,2,2,0,0,0,40,4,0,1,2,0,2,0,1,0,1,0.006781298440115845,0.0,0.05063291139240506,0.11428571428571428,0.4444444444444444,0.6,0.0,0.19158341022125844
24,HM55802,0,1,0,0,0,50,0,0,1,1,0,1,1,1,0,1,0.006067986644675213,0.17873395945229595,0.0,0.8571428571428571,0.9191919191919192,0.0,0.0,0.15177312233774892
25,FS42516,3,3,0,0,1,18,1,1,1,1,1,5,1,2,0,0,0.047945280984420066,0.9755953631189926,0.046413502109704644,0.6285714285714286,0.010101010101010102,0.0,0.25,0.13448568294659324
26,US89481,0,1,0,2,0,44,4,0,1,2,1,5,0,0,0,2,0.025155722474858706,0.0,0.2109704641350211,0.42857142857142855,0.47474747474747475,0.0,0.0,0.2762053712112777
27,HO30839,2,4,0,1,4,26,0,0,2,1,0,0,0,1,3,1,0.042355644694405684,0.10512997469519209,0.3291139240506329,0.9428571428571428,0.6464646464646465,0.0,0.0,0.17840091536980088
28,GE62437,2,0,0,2,1,35,1,0,1,2,1,5,0,2,0,0,0.13514561491993615,0.8660045408627639,0.2109704641350211,0.9428571428571428,0.5454545454545454,0.4,0.125,0.18412550704486635
29,EJ77678,0,3,0,1,4,54,1,0,1,1,1,5,1,1,0,2,0.016423872406416764,0.7570438383292826,0.08016877637130802,0.4857142857142857,0.4444444444444444,0.2,0.0,0.13269351084380784
30,SV85652,0,0,0,0,1,44,1,1,1,1,1,4,3,2,0,2,0.006835242756509534,0.2316240085616267,0.008438818565400843,0.11428571428571428,0.06060606060606061,0.2,0.0,0.11136514695935433
31,UL64533,1,2,0,1,3,11,1,1,2,1,0,1,1,0,2,1,0.20972613628332376,0.6601154219301667,0.7426160337552743,0.02857142857142857,0.1414141414141414,0.0,0.625,0.21285821604628086
32,PF41800,1,1,0,0,0,14,4,1,2,1,1,5,0,2,0,1,0.034599097912460776,0.0,0.016877637130801686,0.5428571428571428,0.5656565656565656,0.0,0.25,0.10647663492059768
33,AO98601,1,4,0,0,0,6,1,1,1,1,0,1,0,0,5,2,0.0383271303405739,0.5451035696782389,0.008438818565400843,0.8,0.1717171717171717,0.0,0.625,0.10448886776580799
34,SK67821,2,3,0,0,0,28,1,0,0,1,0,0,2,3,0,1,0.037271356535169706,0.37267080745341613,0.004219409282700422,0.5428571428571428,0.42424242424242425,0.0,0.875,0.005301738057105347
35,YV55495,1,0,0,0,3,3,1,0,2,1,1,3,0,1,0,1,0.04723500100726539,0.6900011002090397,0.04219409282700422,0.3142857142857143,0.40404040404040403,0.0,0.625,0.07064161865636431
36,KY38074,0,1,0,2,0,55,1,1,1,1,1,5,0,0,0,2,0.14729356329773544,0.42313039477500725,0.23628691983122363,0.2857142857142857,0.6262626262626263,0.0,0.125,0.19408008695474868
37,DM79012,0,3,0,1,4,52,1,0,1,1,1,5,1,3,0,2,0.06733569812355503,0.6571848651243737,0.12658227848101267,0.5428571428571428,0.8686868686868687,0.0,0.875,0.1509435740119254
38,CM61827,3,3,0,1,0,14,4,1,1,2,1,4,2,0,5,2,0.014639136417440909,0.0,0.12236286919831224,0.2,0.797979797979798,0.0,0.0,0.22394382668439558
39,WC35801,0,0,0,0,3,54,1,1,0,0,1,5,0,2,0,1,0.007658670457854324,0.5325311809243757,0.02109704641350211,0.11428571428571428,0.15151515151515152,0.4,0.0,0.05436957959794966
40,QG25316,1,2,0,0,3,6,4,0,1,1,0,2,2,2,5,1,0.009260449864087696,0.0,0.0379746835443038,0.2,0.010101010101010102,0.2,0.0,0.16736812483875244
41,MB98372,3,3,1,0,1,23,1,0,0,2,0,2,1,0,5,1,0.010721669118299327,0.500805152979066,0.04219409282700422,0.08571428571428572,0.32323232323232326,0.0,0.0,0.006505016568549701
42,IL19217,3,1,1,1,0,17,1,0,1,1,1,4,1,0,0,2,0.025065264994996075,0.6003240615716986,0.16033755274261605,0.34285714285714286,0.2828282828282828,0.0,0.0,0.30512617200008935
43,SR38658,0,0,0,0,3,56,1,1,1,1,1,4,3,0,4,1,0.12690906704851979,0.4325221792140507,0.17721518987341772,0.42857142857142855,0.16161616161616163,0.0,0.125,0.17085273383169
44,DH41343,2,4,0,0,1,39,1,1,1,1,2,7,1,2,0,0,0.006701155489185499,0.9285164181194427,0.0,0.42857142857142855,0.5656565656565656,0.0,0.0,0.1011706744625139
45,HG65722,3,3,0,2,2,14,0,0,0,1,1,4,0,1,3,1,0.13412068624549445,0.10106920314859823,0.46835443037974683,0.14285714285714285,0.04040404040404041,0.6,0.25,0.0001447375180188741
46,BU27331,3,0,0,0,0,20,4,1,1,2,1,5,2,2,0,1,0.0315680434728314,0.0,0.05063291139240506,0.2,0.5757575757575758,0.6,0.5,0.20015167350982915
47,XM45289,2,3,0,0,3,27,1,0,1,2,1,4,3,0,5,1,0.04441180142368,0.23222412258329084,0.04219409282700422,0.2,0.10101010101010101,0.0,0.375,0.15474340307319262
48,KP34198,0,1,0,1,0,54,4,0,1,1,0,1,1,2,0,1,0.017756530618461514,0.0,0.1308016877637131,0.3142857142857143,0.7777777777777778,0.0,0.0,0.18302776712788466
49,SH90947,1,0,0,0,3,6,4,0,1,1,1,4,3,1,0,1,0.0048690168291743415,0.0,0.004219409282700422,0.3142857142857143,0.5656565656565656,0.0,0.0,0.10816071653088312
50,WE95729,1,3,0,0,1,5,1,1,1,1,1,4,0,0,3,2,0.4274903783871605,0.24808713655594564,0.18143459915611815,0.02857142857142857,0.2828282828282828,0.0,0.125,0.2052203292260862
