,Customer ID,clust,Number of Referrals,Tenure in Months,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Referred a Friend_No,Referred a Friend_Yes,Offer_None,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Phone Service_No,Phone Service_Yes,Multiple Lines_No,Multiple Lines_Yes,Internet Service_No,Internet Service_Yes,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_None,Online Security_No,Online Security_Yes,Online Backup_No,Online Backup_Yes,Device Protection Plan_No,Device Protection Plan_Yes,Premium Tech Support_No,Premium Tech Support_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_Yes,Streaming Music_No,Streaming Music_Yes,Unlimited Data_No,Unlimited Data_Yes,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Paperless Billing_No,Paperless Billing_Yes,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check
0,8779-QRDMV,4,0.0,0.0,0.0,0.09411764705882353,0.21293532338308457,0.0024059543041772442,0.0,0.13333333333333333,0.0,0.003202045830483075,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0
1,7495-OOKFY,0,0.09090909090909091,0.09859154929577464,0.9771954390878176,0.2,0.6208955223880598,0.07090930071543965,0.0,0.0,0.10962992885836757,0.0838552999754139,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
2,1658-BYGOY,1,0.0,0.23943661971830985,0.22664532906581317,0.611764705882353,0.7681592039800995,0.20006346642049389,0.9160473990761198,0.0,0.057210664512219754,0.15801330994030766,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0
3,4598-XLKNJ,0,0.09090909090909091,0.3380281690140845,0.39527905581116224,0.1411764705882353,0.7985074626865671,0.2879875375028848,0.2697328780879695,0.0,0.13858030925290069,0.248679960996757,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0
4,4846-WHAFZ,0,0.09090909090909091,0.5070422535211268,0.126625325065013,0.16470588235294117,0.5796019900497512,0.3287964458804523,0.0,0.0,0.06570221504073252,0.25765221216292383,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
5,4412-YLTKF,3,0.0,0.36619718309859156,0.0666133226645329,0.21176470588235294,0.5950248756218905,0.24425340410800828,0.0,0.06666666666666667,0.025222177337911534,0.18515250903580704,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0
6,0390-DCFDQ,6,0.09090909090909091,0.0,0.30566113222644525,0.35294117647058826,0.5194029850746269,0.005960073851834757,0.0,0.0,0.004286451670818465,0.005383016195042976,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
7,3445-HXXGF,7,0.5454545454545454,0.8028169014084507,0.0,0.2823529411764706,0.2691542288557214,0.30376182783291017,0.8224543080939949,0.0,0.0,0.2164989404564985,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0
8,2656-FMOKZ,3,0.0,0.19718309859154928,0.8815763152630526,0.2235294117647059,0.5592039800995026,0.13003692591737828,0.0,0.0,0.18544233488184206,0.14930531745328227,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
9,2070-FNEXE,3,0.0,0.08450704225352113,0.5391078215643128,0.21176470588235294,0.5791044776119403,0.0559427648280637,0.22193211488250655,0.0,0.052921407571983214,0.05517988824199405,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
10,0094-OIFMO,1,0.0,0.14084507042253522,0.23184636927385477,0.3411764705882353,0.763681592039801,0.1271059312254789,0.0,0.8,0.035764379811037056,0.11259677637861915,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
11,9947-OTFQU,3,0.0,0.19718309859154928,0.5823164632926585,0.3411764705882353,0.5587064676616916,0.12179783060235402,0.0,0.0,0.12249208914024103,0.12456869805769871,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
12,9514-JDSKI,6,0.09090909090909091,0.0,0.0,0.1411764705882353,0.218407960199005,0.0024694207246711286,0.0,0.0,0.0,0.0015755169351345298,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
13,7273-TEFQD,4,0.0,0.028169014084507043,0.0,0.32941176470588235,0.22786069651741292,0.013085621970920839,0.0,0.0,0.0,0.009269124049379577,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0
14,3606-TWKGI,1,0.0,0.16901408450704225,0.6537307461492298,0.12941176470588237,0.882089552238806,0.15526194322640202,0.0,0.06666666666666667,0.11917906595749456,0.14866892234307133,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0
15,4385-GZQXV,1,0.0,0.2112676056338028,0.1886377275455091,0.10588235294117647,0.7582089552238807,0.17221324717285946,0.0,0.0,0.04232590497991427,0.1372071202661319,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0
16,3488-PGMQJ,3,0.0,0.09859154929577464,0.035607121424284856,0.08235294117647059,0.5597014925373134,0.06782252480960074,0.0,0.0,0.0039947036513386745,0.05012803165752075,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
17,7534-BFESC,3,0.0,0.323943661971831,0.6175235047009402,0.17647058823529413,0.5756218905472636,0.19546503577198246,0.0,0.0,0.20783680064633409,0.2033972292979249,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
18,8098-LLAZX,1,0.0,0.04225352112676056,0.6323264652930586,0.023529411764705882,0.7681592039800995,0.04353796445880453,0.0,0.0,0.03546982652213919,0.04191176101649275,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0
19,0265-EDXBD,0,0.18181818181818182,0.43661971830985913,0.9469893978795759,0.11764705882352941,0.5636815920398011,0.26362220170782363,0.0,0.0,0.4249646536053323,0.3175176743898217,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
20,2840-XANRC,1,0.09090909090909091,0.323943661971831,0.32206441288257653,0.1411764705882353,0.7452736318407961,0.2552792522501731,0.0,0.0,0.10839561031441461,0.2171010488393525,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0
21,5020-ZSTTY,8,0.0,0.7464788732394366,0.24164832966593316,0.058823529411764705,0.6388059701492538,0.499803831063928,0.0,0.0,0.18299333467986267,0.4165469418747983,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
22,5804-LEPIM,6,0.0,0.014084507042253521,0.2634526905381076,0.11764705882352941,0.5184079601990049,0.013876067389799218,0.0,0.0,0.007389079647209318,0.012044676442007766,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0
23,0623-IIHUG,4,0.0,0.28169014084507044,0.0,0.09411764705882353,0.2353233830845771,0.0947726748211401,0.0,0.0,0.0,0.06846808574692381,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0
