,Unnamed: 0,clust,Murder,Assault,UrbanPop,Rape
0,Alabama,0,13.2,236,58,21.2
1,Alaska,0,10.0,263,48,44.5
2,Arizona,3,8.1,294,80,31.0
3,Arkansas,1,8.8,190,50,19.5
4,California,3,9.0,276,91,40.6
5,Colorado,3,7.9,204,78,38.7
6,Connecticut,1,3.3,110,77,11.1
7,Delaware,1,5.9,238,72,15.8
8,Florida,3,15.4,335,80,31.9
9,Georgia,0,17.4,211,60,25.8
10,Hawaii,1,5.3,46,83,20.2
11,Idaho,2,2.6,120,54,14.2
12,Illinois,3,10.4,249,83,24.0
13,Indiana,1,7.2,113,65,21.0
14,Iowa,2,2.2,56,57,11.3
15,Kansas,1,6.0,115,66,18.0
16,Kentucky,1,9.7,109,52,16.3
17,Louisiana,0,15.4,249,66,22.2
18,Maine,2,2.1,83,51,7.8
19,Maryland,3,11.3,300,67,27.8
20,Massachusetts,1,4.4,149,85,16.3
21,Michigan,3,12.1,255,74,35.1
22,Minnesota,1,2.7,72,66,14.9
23,Mississippi,0,16.1,259,44,17.1
24,Missouri,3,9.0,178,70,28.2
25,Montana,2,6.0,109,53,16.4
26,Nebraska,2,4.3,102,62,16.5
27,Nevada,3,12.2,252,81,46.0
28,New Hampshire,2,2.1,57,56,9.5
29,New Jersey,1,7.4,159,89,18.8
30,New Mexico,3,11.4,285,70,32.1
31,New York,3,11.1,254,86,26.1
32,North Carolina,0,13.0,337,45,16.1
33,North Dakota,2,0.8,45,44,7.3
34,Ohio,1,7.3,120,75,21.4
35,Oklahoma,1,6.6,151,68,20.0
36,Oregon,1,4.9,159,67,29.3
37,Pennsylvania,1,6.3,106,72,14.9
38,Rhode Island,1,3.4,174,87,8.3
39,South Carolina,0,14.4,279,48,22.5
40,South Dakota,2,3.8,86,45,12.8
41,Tennessee,0,13.2,188,59,26.9
42,Texas,3,12.7,201,80,25.5
43,Utah,1,3.2,120,80,22.9
44,Vermont,2,2.2,48,32,11.2
45,Virginia,1,8.5,156,63,20.7
46,Washington,1,4.0,145,73,26.2
47,West Virginia,2,5.7,81,39,9.3
48,Wisconsin,1,2.6,53,66,10.8
49,Wyoming,1,6.8,161,60,15.6
